File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\non-responsive\non-responsive.css,118,83,58,0,16,0,19,89,6,25
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\offcanvas\index.html,128,113,0,0,15,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\offcanvas\offcanvas.js,5,5,5,0,0,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\offcanvas\offcanvas.css,48,34,23,0,6,5,8,27,4,6
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\signin\index.html,47,36,0,0,11,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\signin\signin.css,40,39,30,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\starter-template\index.html,64,52,0,0,12,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\starter-template\starter-template.css,8,7,5,0,1,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\sticky-footer\index.html,52,41,0,0,11,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\sticky-footer\sticky-footer.css,39,23,17,0,6,0,10,62,2,5
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\sticky-footer-navbar\index.html,87,75,0,0,12,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\sticky-footer-navbar\sticky-footer-navbar.css,46,28,20,0,8,0,10,62,2,5
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\theme\index.html,388,345,0,0,43,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\examples\theme\theme.css,14,12,9,0,2,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\affix.js,127,67,16,13,34,0,26,122,18,107
